term,week,day of week,class,time spent (min)
fa23,15,Friday,PHYS 213,0.0
fa23,15,Friday,MATH 241,0.0
fa23,15,Saturday,MATH 241,0.0
fa23,15,Saturday,PHYS 213,0.0
fa23,15,Saturday,STAT 107,0.0
fa23,15,Saturday,HIST 164,0.0
fa23,15,Sunday,MATH 241,45.0
fa23,15,Sunday,HIST 164,30.0
fa23,15,Sunday,PHYS 213,105.0
fa23,15,Sunday,STAT 107,0.0
fa23,16,Monday,HIST 164,45.0
fa23,16,Monday,PHYS 213,0.0
fa23,16,Monday,STAT 107,135.0
fa23,16,Monday,MATH 241,45.0
fa23,16,Tuesday,MATH 241,0.0
fa23,16,Tuesday,HIST 164,15.0
fa23,16,Tuesday,PHYS 213,90.0
fa23,16,Tuesday,STAT 107,75.0
fa23,16,Wednesday,PHYS 213,0.0
fa23,16,Wednesday,HIST 164,0.0
fa23,16,Wednesday,MATH 241,0.0
fa23,16,Wednesday,STAT 107,0.0
fa23,16,Thursday,PHYS 213,60.0
fa23,16,Thursday,STAT 107,30.0
fa23,16,Thursday,MATH 241,0.0
fa23,16,Thursday,HIST 164,0.0
fa23,16,Friday,MATH 241,0.0
fa23,16,Friday,PHYS 213,90.0
fa23,16,Friday,STAT 107,0.0
fa23,16,Friday,HIST 164,0.0
fa23,16,Saturday,PHYS 213,0.0
fa23,16,Saturday,MATH 241,180.0
fa23,16,Saturday,STAT 107,0.0
fa23,16,Saturday,HIST 164,0.0
fa23,16,Sunday,HIST 164,30.0
fa23,16,Sunday,PHYS 213,0.0
fa23,16,Sunday,MATH 241,210.0
fa23,16,Sunday,STAT 107,0.0
fa23,17,Monday,HIST 164,0.0
fa23,17,Monday,MATH 241,0.0
fa23,17,Monday,PHYS 213,0.0
fa23,17,Monday,STAT 107,0.0
fa23,17,Tuesday,HIST 164,0.0
fa23,17,Tuesday,MATH 241,0.0
fa23,17,Tuesday,PHYS 213,0.0
fa23,17,Tuesday,STAT 107,0.0
fa23,17,Wednesday,PHYS 213,0.0
fa23,17,Wednesday,STAT 107,0.0
fa23,17,Wednesday,MATH 241,0.0
fa23,17,Wednesday,HIST 164,210.0
fa23,17,Thursday,PHYS 213,0.0
fa23,17,Thursday,STAT 107,0.0
fa23,17,Thursday,HIST 164,120.0
fa23,17,Thursday,MATH 241,0.0
fa23,17,Friday,PHYS 213,0.0
fa23,17,Friday,STAT 107,0.0
fa23,17,Friday,HIST 164,0.0
fa23,17,Friday,MATH 241,0.0
fa23,17,Saturday,STAT 107,0.0
fa23,17,Saturday,MATH 241,0.0
fa23,17,Saturday,PHYS 213,0.0
fa23,17,Saturday,HIST 164,0.0
sp24,1,Tuesday,GEOL 107,0.0
sp24,1,Tuesday,ASTR 210,0.0
sp24,1,Tuesday,STAT 207,0.0
sp24,1,Tuesday,MATH 257,0.0
sp24,1,Wednesday,GEOL 107,0.0
sp24,1,Wednesday,ASTR 210,0.0
sp24,1,Wednesday,MATH 257,90.0
sp24,1,Wednesday,STAT 207,0.0
sp24,1,Thursday,ASTR 210,45.0
sp24,1,Thursday,MATH 257,0.0
sp24,1,Thursday,GEOL 107,0.0
sp24,1,Thursday,STAT 207,0.0
sp24,1,Friday,STAT 207,0.0
sp24,1,Friday,MATH 257,0.0
sp24,1,Friday,ASTR 210,0.0
sp24,1,Friday,GEOL 107,0.0
sp24,1,Saturday,MATH 257,0.0
sp24,1,Saturday,ASTR 210,120.0
